comments;source;label
sekelas garnacho aja di kantongin sama kakang rudianto tuhh;tiktok;negative
santai bro masih ada leg kedua;tiktok;positive
tolong kepada pihak ptlib tolong masukin ni tim ke liga;tiktok;negative
salah banget munyuk ga masukkin gua;tiktok;negative
belum ada yg menduga saat para pemain dari kedua pemain terpantau ada staf perempuan yg mengiringi menggunakan batik;youtube;negative
kakang rudianto ama malik risaldi bgs maen nya;tiktok;neutral
makan dulu nak walaupun sedikit cuman pertadingan bola itu;tiktok;negative
akhirnyaa;tiktok;neutral
tim apa ini jhordan manengkey wowor;tiktok;negative
knpa skrng ngebadut mulu;tiktok;negative
udah ga ketolong ni club emg;tiktok;negative
harusnya persib beli pemaen maung maung lwin;youtube;negative
gua kena botak;tiktok;neutral
emng udah main;tiktok;neutral
mending pindah liga deh mu;tiktok;negative
gpp kalah yang penting cuan udh disetting;youtube;positive
sejarah baru lagi mu wkwk;tiktok;negative
sekelas mu aj kalah lawan asean all star;tiktok;negative
club hina sepanjang masa;tiktok;negative
skuad seadanya aja mu masih kalh;youtube;negative
luppy k adoi jangan takmakan nah;tiktok;negative
lawan asean all star aja kalah apalagi lawan king indo y;tiktok;negative
indo aja aff pake pemain junior lah ini mu lawan pemain aff kalah;tiktok;negative
mending ikut bri liga itupun ntar diasapi pss sleman;tiktok;negative
kesempatan dapat piala tahun ini pun sirna;news;negative
bg alasan mu kalah bg kok bisa ya;tiktok;negative
aku mimpi tim lu menqg;tiktok;negative
itu baru asean grade b gmn lawan full all stars udh di bantai kali;tiktok;negative
meme abad ini;tiktok;negative
lawan asean aja kalh mau lagi dipanggil raja eropa;tiktok;negative
jangan hina mu sbb diorng dah sedia hina;tiktok;negative
king indo bikin sejarah di allstar asean;youtube;negative
kalah menang itu hal yang wajartapi kalo kalah terus itu g wajar;tiktok;negative
mu mlempem united;youtube;negative
gege lah kan ada arhan awok wok wok;tiktok;negative
day asian allstars;tiktok;neutral
udah bubarkan;tiktok;negative
jejak digital sampe tua pokoknya;tiktok;negative
kalah kok sama klub yang baru dibentuk wkwk;tiktok;negative
huu berak tu;tiktok;negative
sama asean aja kalah awkkwkwkwk;tiktok;negative
kalah itu biasatapi kalahnya lawan asean;tiktok;negative
kykny persib lawan mu menang persib dah klo di coba;tiktok;negative
tapi ini gak wajar;tiktok;positive
garnacho dikantongin kakang;tiktok;negative
cuma main iseng di malah dapet untung buat jalanjalan terima kasih banyak;youtube;negative
kau diam;youtube;neutral
emyu menang tadi tapi me nanggung bukan menang;tiktok;negative
tak perlu dihina pun sudah hina awokwok;tiktok;negative
emyu vs semen padang;tiktok;negative
emang pling cocok degradasi nih tim;tiktok;negative
jika anda menghargai umpan balik pengguna mungkin pilihan yang baik;youtube;neutral
safrudinia om jangan lupa makan yak;tiktok;neutral
makasih y beres rumah sambil nyepin pas dengar suaranya behhhhhh garang kaliii suara petirnya hahaha;youtube;negative
lanjutkan;tiktok;neutral
sound khusus untuk mu;tiktok;negative
kalah sama club baru latihan minggu;tiktok;negative
puncak komedi;tiktok;negative
kalah sama club yang baru di bikin beberapa harijadi mikir cunha apakah mau menghancurkan karir nya sendir;tiktok;negative
entah apa yg dijanjikan pihak aff hingga king mu lebih memilih mengalah;tiktok;positive
udah bang mu sekarang sudah tidak berapa kuat;tiktok;negative
untung fans mu yg datang stadium dpt rasa kalah depan mataselalu nya kat tv je;tiktok;negative
ini mu emang gak punya malu mungkin udah kalah dari tottenham masa kalah juga sama asean;youtube;negative
ko ada yang masih fans mu;tiktok;negative
ada dua pemain malaysia di asian all star dan tidak ada indonesian;tiktok;neutral
gua dah bisa komen foto jir;tiktok;neutral
mu tak perlu di hina memang sudah hina;tiktok;negative
lu kan orang asean bang kok jadi sedih si;tiktok;neutral
badut eropa takluk dengan asean all starts;youtube;negative
hensom pulak pakai baju mu kan tp tu la;tiktok;neutral
ngan asean kalah juak su;tiktok;negative
you make me laugh unbelievable;tiktok;negative
uda kelewatan ini cok;tiktok;negative
baru latihan hari bisa ngalahin mu hahahahah madura united kah;tiktok;negative
sabar mas saya juga kaget mu bisa kalah sama asean all star tetep semangat mas mu bisa juara musim depan glory man united;tiktok;positive
coba suruh tanding dgn mu madura;youtube;negative
mu masuk gua;tiktok;negative
bangmessizp tim indondesh stadium jorok dan tak main di world cup juga lagi teruk;youtube;neutral
bng mu menang;tiktok;neutral
sudah main kah;tiktok;neutral
sepi soalnya gak laku pertandingan antara rt dan rwjuliaexjuly;youtube;negative
mu sekarang ampas;youtube;negative
nonton live nya komen sebelum ribuan masuk live nya lagi;tiktok;neutral
dulu jadi raja eropa sampai di buatin pertandingan manchester united vs eropa xi;tiktok;negative
mu mending di liga pocong aja;tiktok;negative
keknya lu udah ga beneran suka sama emyu ya bang jujur aja karna dah terlanjur konten emyu yaudah di jadiib bisins konten;tiktok;negative
juara bob;tiktok;neutral
nih emyu lawan malut juga kalah bjir;tiktok;negative
bubar;tiktok;negative
ya mu kalau kasian deh lawak deh;tiktok;negative
padahal lawan tim baru di bentuk aja kalah;tiktok;negative
macam macam tingkat kesulitan;tiktok;negative
tim baru di bentuk aja udah menang;tiktok;negative
hahah di liga sering kalah lawan tim asean jugak kalahhh;tiktok;negative
alah piala ciki nya;tiktok;positive
udah bang itu pemain emyu lebih cocok jadi pelawak;tiktok;negative
dukun;tiktok;negative
bukan masalah sepakbola asean lebih jago dari eropa lagian cuma lawan club tergobk seeropa sepele kali;tiktok;negative
munyukk munyukkkk;tiktok;negative
next lawan madura united aja;tiktok;negative
mu mau ikut piala presiden gak lawan king persib;tiktok;negative
cuman mu dewa yunaitid aja bisa ngalahin;youtube;negative
wkwk kalah sama tim yang baru di bikin sehari;tiktok;negative
belum dihina mu udah hina duluan;tiktok;negative
mu cocoknya main di liga tarkam itu biar bisa menang;tiktok;negative
hari jumat pasti win nih;tiktok;neutral
asean allstars lawan tim tarkam cuma bisa;tiktok;negative
dark systembeban orang tua;tiktok;negative
lawan ayam ayam gitu aja kalah;tiktok;negative
mu cocoknya lawan timor leste saja dah;tiktok;negative
dulu mudi juluki setan merah sekarang kosedih lihat mu;tiktok;negative
baru aja dikalahin tottenham di finaleh sekaranh dikalahin aseanmana garnacho di kantongin kakang rudianto wkwkw;tiktok;negative
stop la hina team yang memang sudah terlalu hina;tiktok;negative
jauh jauh ke malaysia bukan nya main bola malah ngadain sirkus;tiktok;negative
dah dukung aja ntar malem;tiktok;neutral
collagen cream pria krim kolagen pemutih retinol anti penuaan krim siang dan malam vitamin e hyaluronic acid melembabkan kulit penghilang kerut mencerahkan wajah pelembab perawatan hitam bopeng komedo pencerah httpsvttokopediacomtzskskjk;tiktok;neutral
kalah sama pemain persib;tiktok;negative
next lawan persib bandung;tiktok;neutral
main di liga aja paling juga di acak acak persib bandung;tiktok;negative
negara sendiri ga di dukung;tiktok;neutral
emyu udh g ketolong plis;tiktok;negative
saking kuatnya dibuat vs europe xi;tiktok;negative
knp ya harus kalah;tiktok;neutral
lawannya club eropa tapi mu jelasss;tiktok;negative
maybank league un klah ke;tiktok;negative
beda yg sepak bola k lo ga maen dgn serius keliatan kaya yg ga semangat takut cedera;youtube;positive
klasmen liga inggris cokklo undang club mending yg juara liga atau big four;youtube;negative
yang peliknya kok mu puasa trophy;tiktok;negative
mu konsisten bang di liga kalah di eropa kalah di asean kalah emang manteb mu;tiktok;negative
mu kalah sama tim yang baru di bentuk;youtube;negative
itu asean rata pemain nya lapis ya;tiktok;negative
jan lupa nanti mlam the king celse bakal angkat piala;tiktok;negative
suruh main antar rtrw aja bg;tiktok;negative
sebelum ribuan;tiktok;neutral
fans mu kebanyakan teori;tiktok;negative
dulu ngetawain sekarang kasian gw asli;tiktok;negative
tim badut;youtube;negative
jangan jangan kalo ke liga degradasi juga;tiktok;negative
udah main di bri liga aja wkwk;tiktok;negative
vs asean aja kalah apa lagi di eropa;tiktok;negative
rusak sudah rusakkk;tiktok;negative
merusak nama baik premier league;tiktok;negative
itu malaysia vs mu kan aku tak sempat tengok live dia;tiktok;neutral
plisss yakali kalah sama team yg baru di bikin kemaren sore;tiktok;negative
kalah sama tim yang baru kebentuk seminggu;tiktok;negative
kan ada asnawi;tiktok;neutral
gw paling demen gas di wkwkwkww seru harus sering sih ini mah;youtube;negative
bnyk fans emyu tapi dicuekin pemain emyu pas menyambut bahkan ada yg acungi jari tengah;youtube;negative
kayak nya munyuk lawan madura juga bisa imbang deh;tiktok;negative
sengaja ngalah kan ini;tiktok;positive
bisanya kalah padahal king emyu vs mortal kombat;tiktok;negative
menang atau kalah itu adat permainan;tiktok;positive
sebelum ribuan;tiktok;neutral
fans mu gk ada chant glory glory man untd gituh senyapp amat;youtube;negative
emang mu mah tim badut dari dulu juga;tiktok;negative
tapi ini kalah mulu mak;tiktok;negative
gbk dibangun bukit jalil;youtube;neutral
levelnya mungkin kecamatan;news;negative
sabar mungkin sengaja mengalah;tiktok;positive
cuma have fun anjir kok pada serius asean;tiktok;positive
kenapa di babak onana di ganti sama tom heaton;tiktok;negative
mu udah sekelas leicester;tiktok;negative
mantap makasih sukses bikin gue terkesan;youtube;neutral
bubar mu;tiktok;negative
mau serius mau kagak harusnya mu yg menangsama tim asean yg baru di bentuk hari;youtube;positive
kalah wajar menang gak mungkin;tiktok;negative
mu harus nya d bubarin saja sih malu in primer league;youtube;negative
musim depan otw tsunami trophy;tiktok;positive
lawan negara ok la tu ni all star mmg x menang la cm ni;tiktok;negative
tak perlu dihina pun sudah hina awokwok;tiktok;negative
sekali mu tetap mu bg;tiktok;positive
ini yg salah siapa pelatih pemain manajemen udah mau gila gua jadi fans emyu;tiktok;neutral
kalah sama klub all stars;tiktok;negative
bang kalah gapapa tp bang ini asean all star baru di bentuk berapa minggu bangg benerann kalah ini;tiktok;negative
asian not asia;tiktok;neutral
dikira mudah dapetin piala aff;tiktok;negative
kalah sama team kerja kelompok anjay;tiktok;negative
bagus lah buat mengormati tamu kalo pun mu cetak gol juga suporter ikut senang;youtube;positive
klub indo di afc juga sayur;youtube;negative
gkpp namanya pertandingan ada menang ada kalah;tiktok;positive
tingkat kesulitan;tiktok;neutral
mu lawan persib keknya persib bisa menang;tiktok;negative
kalah itu adalah rutin bagi man u;tiktok;negative
kaptennya maguire kipernya onana yang main garnacho dll kirakira itu tim senior u atau u;youtube;negative
kenapa mu kalah ada pemain persib;tiktok;negative
makan tu mu;tiktok;negative
bahkan di asiapun ga di kasih menang kocak bener dah emyu;youtube;negative
terhina tanpa dihina;tiktok;negative
pas lagi op nya lawan eroupa allstar pas lagi badut di kasih lawan asean allstar kacaww;tiktok;negative
jangan jangan mu main di piala presiden;youtube;negative
itu bukan asean all stars asean all stars nya yang asli lagi di bali;tiktok;negative
bisa bisanya anj kalah ama tim yang baru dibentuk ama tim yang pasti kagak kenal satu sama lain pemainnya;tiktok;negative
tidak dihina pun sudah hina;tiktok;negative
kasian;tiktok;negative
ini mahk full sporter timnas merah;youtube;negative
ganteng ganteng kok fans mu wkwk;tiktok;negative
nih orang mu harga mati jir;tiktok;neutral
bahkan kalah sama klub baru yg pemainnya aja belum tentu saling kenal;tiktok;negative
indonesia jadi ga di ikutin teus siapa aja;youtube;neutral
mending bubar dulu gak sih;tiktok;negative
sebelum ribuan;tiktok;neutral
mu nyuk tim;tiktok;negative
anda yang miskin;news;positive
speechless k doang jadi jt parah sih;youtube;neutral
udah ga tau harus apa dah;tiktok;negative
rumput lapangan malaysia bagus;youtube;neutral
di hina pun emyu sudah pasti hina;tiktok;negative
punya striker gini amat punya kiper kebobolan mulu;tiktok;negative
emang kalah menang wajar tapi ini mah kalah mulu bukan wajar;tiktok;negative
awokawok masuk lomba rt rw aja;tiktok;negative
suruh ikut piala an aja emyu nanti pasti juara;tiktok;negative
lawan all star pun kalah;tiktok;negative
senyum terpaksa garnacho;tiktok;negative
mnurut gua yg membuat ancur pforma emyu itu gaya bermain dri taktik amorim keknya pra pemain kesulitan menerapkan taktik dri amorim seblangsak blangsaknya tenhag nglatih emyugak smpai kek gini dah pnampilan emyu aplgi fi liga finish di urutan;youtube;negative
jgn sedi bg;tiktok;neutral
makan dulu nak;tiktok;neutral
chill mu kalah karna penuh dengan pemain academyamorim hanya mahu mengetess player muda untuk dimasukkan ke dalam team seniorggmu;tiktok;positive
lswhkalah sama tim yg baru dibentuk hari;youtube;negative
itu aja belum ada pemain indonesia;tiktok;neutral
menang kalah itu adat mu kalah itu tabiat;tiktok;negative
kakang rudiato menang;tiktok;neutral
kalo mu vs timnas indonesia dia milih siapa yaa;tiktok;neutral
lawak bet dah;tiktok;negative
jauh dari inggris cuman liat tim asean angkat piala;tiktok;negative
muhammad adam mu kalah;tiktok;negative
ini pemain asean yang udah semakin baik atau mu nya aja yang semakin buruk yah;youtube;negative
mending kalian tobat;youtube;neutral
kalo dulu negara asean beneran bersatu beneran bakalan jadi pesaing mamarika sudah pasti dunia persepakbolaan dapat bersaing dengan eropa;youtube;neutral
zytrtz emyu dikon jualan pecel lele bae;tiktok;negative
antara senang antara sedih;tiktok;neutral
lawan adean aja kalah wkwkwk;tiktok;negative
puncak komedi;tiktok;negative
ditaro di liga juga degradasi;tiktok;negative
komen dulu sebelum ribuan;tiktok;neutral
ada budak jabar persib;youtube;neutral
ah bang kalah bang;tiktok;negative
penonton nya banyak ksong kursinya;youtube;neutral
singkat padat klh ama tim baru dibuat;tiktok;negative
sebelum ribuan;tiktok;neutral
danz anak baek;tiktok;neutral
garnacho dimana bang semalem;tiktok;negative
kakang rudianto kali juara;tiktok;neutral
lawan asean pun kena bantai hahahaha;tiktok;negative
like nya masih sekarang brp;tiktok;neutral
bahkan setelah mereka menang mereka juga bingung mau naro piala nya dimanaapa dibalikin ke panitia yaa;tiktok;neutral
kalah menang itu adatmu kalah itu tabiat;tiktok;negative
maung maung lwin for man u striker;tiktok;negative
pandan muka;tiktok;neutral
garnaco trauma ketemu pemain indonesia;tiktok;neutral
mudi kantongin kakang persib;tiktok;negative
bang lu di malaysia ya;tiktok;neutral
vibes y bagus beda klo di indonesia;youtube;neutral
paling bener emang jual pecel lele aja;tiktok;negative
pd gw di aduin ama persib aing g;tiktok;negative
lapis kedua loh broo;tiktok;negative
tapi kalian masih merah kan;tiktok;neutral
lumayan malik krbagian main;youtube;neutral
agains;youtube;negative
pesan ayah;tiktok;neutral
kalah menang hal yg wajar fans mu kalah mulu;tiktok;negative
sepi apanya setadium itukan terbesar buat penonton se asean jadi kalau se gbk penonton ke setadium ini pasti jadi keliatan sedikit padahal banyak itu penonton asean semua yang nonton;youtube;neutral
batu di kasih tau juga lagi puasa ga akan menang;tiktok;neutral
tidak di hina pun sudah hinamu;tiktok;negative
masa iya harus gue yg turun ke lapangan biar king menang;tiktok;negative
mu main di liga indonesia aja bakalan degradasi;tiktok;negative
masih ada aja fans mu heran kali;youtube;negative
tidak di hina pun sudah hina;tiktok;negative
fokus asean all star katanya wak ini hasilnya;tiktok;negative
kalah menang itu hal yang wajar tapi kalo kalah mulu itu mu;tiktok;negative
lawan team cap ayam boleh laa menang;tiktok;negative
decul klian masih barca kan;tiktok;neutral
sian dia kalah;tiktok;negative
mu dark system nya berkepanjangan;tiktok;negative
bukan asean yg jago tapi emang lawannya aja drak sistem europa mu paling bener lawan mitra kukar;tiktok;negative
cepet kali cuk baru diupload;tiktok;neutral
pemain persib ama persebaya loh itu bukan pemain copenhagen ama venezia;tiktok;negative
tak pernah ucap hello pergi kau melambai manchester manchester manchester united;youtube;negative
skrg maw fokus dimn lagi mukmrn kata fokus masuk uefatrz fokus ke piala uefaskrg fokus apa lagi;tiktok;negative
kakang rudianto and rezaldi malik from malaysia;youtube;neutral
madura united wajar kalah tipis dri asean allstar bang;tiktok;negative
hahah sekelas mu di ayam ayamin all star asean;tiktok;negative
speechless modal receh jadi sultan mantap;youtube;neutral
balik gua;tiktok;neutral
sebelum ribuan;tiktok;neutral
sabar yaa bangg munyu lagi ngeprank dulu;tiktok;positive
ada pemain indo di asean ol star;tiktok;neutral
udh lapar tpi mu kalah;tiktok;negative
mana ada main pake hati cak;tiktok;neutral
abis asnawi terbitlah kakang;tiktok;neutral
gk pernah di balas sama bg kyle kusumo;tiktok;neutral
bingung milih mana asean ada indonesia emyu klub ku;tiktok;neutral
kalah sama tim yang baru minggu;tiktok;negative
kalah menang memang adat;tiktok;negative
ada jua bendera merah putih berkibar sepertinya masih banyak jua fans mu sejati baik tki maupun yg terbang ke malaysia untung aza;youtube;positive
yah masuk goa;tiktok;negative
leg kedua gak sih kandang emyu;tiktok;positive
garnacho dikantongin kakang;tiktok;negative
udah mu jangan di epl lagi masukin liga bri aja;tiktok;negative
gua diserang decul ama demit jir;tiktok;neutral
barusan lagi live;tiktok;neutral
malu aku jadi fans mu kalah sama asean all starr;tiktok;negative
dikalahin tim baru di buat;tiktok;negative
mu blum kena hina memang sdh hina;tiktok;negative
alah;tiktok;neutral
kalah sama penghuni aff;tiktok;negative
ternyata piala aff se susah itu yaa buat emyu;tiktok;negative
kalau ade ronaldo kan senang menang gitu;tiktok;negative
mu kalah lawan klub yg baru di bangun bulan;tiktok;negative
cocoknya emyu main tarkam rw rawamangun;news;negative
mau ketawa tapi kasihan;tiktok;negative
kok makin hari makin lawak aja mu masak kalah terus sama clubclub yg gk terkenal;tiktok;negative
mu ko gitu mainnya seruan indonesia vs bahrain indonesia vs saudi arabia;youtube;negative
gua doain dah lawan hongkong menang kasian;tiktok;negative
hanya butuh buat ngalahin muapalagi sebulan kebantai itu;tiktok;negative
diam la konohatuan malaysia tetap di atas dlm segala hal;youtube;neutral
jangan menghina dia kerna dia sudah hina;tiktok;negative
bang dapat salam dari pemain myanmar;tiktok;neutral
pens mu cairr si iki;tiktok;negative
kalah menang emg hal yg wajar tp kalo kalah mulu kurang ajaa;tiktok;negative
jangan sedih bang ini kan laga persahabatan;tiktok;positive
mu lawan persik kediri juga kalah;tiktok;negative
hermanipoetya kali masa merendahkan harga diri sampe bikin sengaja kalah garnacho aja frustasi noh bek mu jg sampe narik jersey malik;youtube;negative
kalah menang memang hal yang wajar;tiktok;positive
bang bikin vid ini x buat musim depan;tiktok;neutral
manchester yg asli ada di warna biru ya dkk;tiktok;negative
ya iya lah asean all star bro bukan pemain biasa all star pemain terbaik atau terbagus di asia;tiktok;negative
sema wantam;tiktok;neutral
gk jadi angkat piala bang;tiktok;negative
akhirnya part sesuai ekspektasi;tiktok;neutral
bisatpi indonesia lwn gak tnpa player naturalisasiasli indonesialo rasisjalek kn player negara luarseolaholah player indonesia aja yg terbaikbro permikiran kayak sd;youtube;neutral
garnacho di kantongin kakang rudianto;tiktok;neutral
ini bukan kalah ya tapi mengalah;tiktok;positive
ni kalo di undang di bri liga juga masuk degradasi nih club kaya nya;tiktok;negative
ini karena dua nya sih hahaha;youtube;negative
karna ga ada antony;tiktok;neutral
sebelum ribuan;tiktok;neutral
emang gitu surut dulu baru tsunami besar lihat aja nanti musim depan gg king mu;tiktok;positive
udah bg terjemahin translate caption aja bg gpp imbang juga;tiktok;neutral
mu ke liga aja blm tentu menang wkwk;tiktok;negative
aduhhh sayang itu begea malahh di ganti onana;tiktok;neutral
sedang bersiap untuk di bully besok;tiktok;neutral
tolong jangan di hina karna ujung nanti klarifikasi siuuu;tiktok;negative
all asean segini aja mu yg skrang wkwk;youtube;negative
kalah sma klub kecil;tiktok;negative
bruno aj umpannya dengan hati;tiktok;neutral
kakang rudianto vs garnacho;youtube;neutral
ga jelas memang munyu;youtube;negative
laga amal doang di seriusin jir kiper emyu aja tom heaton;tiktok;positive
kemenangan asean itu berkat kakang kawan kerja sama tim yg kompak sulit;youtube;neutral
baru asean belum asia;tiktok;negative
tombol suren ada dii kiri atas kak;youtube;neutral
ya kerana waktu ada ronaldo ana roneey kocak;tiktok;negative
astaghfirullah united;tiktok;negative
jauh ke asean untuk cari kalah;tiktok;negative
kasian mu;tiktok;negative
mu ngak ada motivasi menang lagi keknya;tiktok;negative
lawaan asian pun kalah lawak lawak club;youtube;negative
game dagelan mafia game;youtube;positive
aduh titik terendah mu;youtube;negative
indo yg ikut kualifikasi ga ikut aja menang apalagi ikut;tiktok;neutral
mu menang itu tidak wajar;tiktok;negative
pemain emyu males ngejar bola;tiktok;negative
tim terkocak tahun ini;tiktok;negative
mei m nya apa mu klh lagi;tiktok;negative
harapan satunya dapat piala padahal;tiktok;neutral
hampir dimalukan;tiktok;negative
asean lebih jago dari europakatanya;tiktok;negative
emang mu cocoknya di liga tarkam keknya;tiktok;negative
menang ni boss;tiktok;neutral
aduhh aku kejawa;tiktok;neutral
tanpa dihina pun sudah hina;tiktok;negative
uburubur ikan lele mu gagal menguasai aff leee;tiktok;negative
kalah sama tim yang baru di bentuk beberapa hari dasar;tiktok;negative
meri malu dak usa dipos aog e;youtube;negative
cuma bg jangan sedih;tiktok;negative
asean ni menang sbb tk de indonesia main klu ada indonesia main sekali msti kalah power asean tanpa indonesia ini bukan asnawi tackle ganarcho tapi ini adalah the real asean tackle ganarcho;tiktok;negative
mu kalau di liga satu sekelas madura kaya nya;tiktok;negative
maen di liga aja bang;tiktok;negative
zaman dulu lawan eropa xi europa all star easy win lah sekarang asean all star doang kalah sungguh lawak klub ini;tiktok;negative
nurhadikebumenidiotnesah ya;youtube;neutral
sabar bang mu lagi buruk buruknya pasti suatu saat akan bangkit lagi;tiktok;positive
mu renmatc lawan indo aj;tiktok;negative
kalah itu karna ga pake tim utama;tiktok;positive
definisi setan merah berubah jadi badut merah;youtube;negative
bukan asia lebih bagus dari europa tapi dari pemain emyu;tiktok;negative
tuh kan eth masih lebih bagus;tiktok;negative
klub macam apa ini;tiktok;negative
ngeri ga tuh asean all star;youtube;negative
man utd di obok obok hahahh wkwkwkw bott lawan asean aja kalah apa lagi lawan persib bandung;tiktok;negative
udh paling bener mu main di liga indo aja;tiktok;negative
sama asean aja kalah;tiktok;negative
g mana mau masuk champion lawan asean all star aja kalah;tiktok;negative
dulu menang ngelawan europe all staf sekarang kalah ngelawan asean all star;tiktok;negative
kemunduran sepak bola malaysiekemunduran performa mukemunduran antusiasme publik disana lengkp sudah;youtube;neutral
gabung liga indonesia aja belum tentu juara tuh munyuk;tiktok;negative
terulang mei;tiktok;neutral
bawa aku pergi dari sini;tiktok;neutral
padan muka;tiktok;neutral
ternyata aff memang turnamen yang berkualitas ya sekelas mu aja gak mampu angkat trofi;tiktok;negative
demam ga doyan makan ya bang;tiktok;negative
semangat;tiktok;positive
mssm sedia terima borang penyertaan emyu;tiktok;negative
benci betul ye kau dkt malaysia sedangkn fans my membahan fans mu tkde pulak tgk diorg claim menangsapa je kisah menang atau kalahyg org kisahkan mu tu fantart;tiktok;negative
letih jadi fans mu ni kalah tu jadi kebiasaan sangat dah ni;tiktok;negative
mau ke gua kelam gak;tiktok;negative
nuker galon dulu;tiktok;neutral
tanda tanda bakalan degradasi ni club kalo gk ada perubahan selama pra musim udah fix bakal degradasi;tiktok;negative
otw antar munyuk pulang;tiktok;negative
mu suruh jual nasi pecel aja;tiktok;negative
beda bet bang kyle suaranya;tiktok;negative
konsisten kalahnya;youtube;negative
kakangrudianto hampir treble mang;tiktok;neutral
emyu suruh lawan pss dulu aja;youtube;negative
uda ya uda fens emyu dalam goa aja;tiktok;negative
gw sekarang libur tapi;tiktok;neutral
amad dialo setelah kalah lawan asien all star;tiktok;negative
lawak itu mu;tiktok;negative
lebih seru nonton yutub all star vs sidemen vibesnya;tiktok;negative
coba deh liga penggadaian;tiktok;negative
yang wakil pun bukan pemain utama kebangsaan pun kalah;tiktok;negative
jauh jauh dari inggris cuma liat tim lawan angkat trofi;tiktok;negative
itu karena dulu ada cr bg;tiktok;neutral
kalo orang belanda yg di kirim dari indonesia namanya bukan asean jadi wajah wajah eropa;youtube;neutral
dipuji tak pantas dihina sudah hina;tiktok;negative
semalam pergi stadium sekali kalah lagi;tiktok;negative
hilang harga diri klub besar;tiktok;negative
gw liyat likenya masih sekarang berapa thinking;tiktok;neutral
mu memalukan united;tiktok;negative
stadion nya lebih megah dari gbk ya;youtube;neutral
komenan nya pada kenapa;tiktok;neutral
ada kakang dari persib;youtube;neutral
siapa yang masuk kin;tiktok;neutral
jadi fans jdt aja juara terus tiap musim;tiktok;negative
bg sebenar nya lu dukung madrid ap barcelona;tiktok;neutral
dahulu kala menang vs europa xi skrng kalah lawan asean allstars;youtube;negative
madoka chan lebih ngakak tim netflix ngaku tim terbaik liga champions tim badut eropa;news;negative
degradasi aja kali;tiktok;negative
khusus yg liga kecil di persilakan tanding dengan mu karna mu makanan yg sangat enak karena dia adalah king pelawak;tiktok;negative
inget bang habis gelap tetap gelap;tiktok;positive
gaya n mu pke tour kyk tim kuat aj;youtube;negative
lebih dri minus ini mah sumpah;tiktok;negative
kalah menang tu adat tapi ni dah jadi tabiat;tiktok;negative
dannn;tiktok;negative
mu suruh maen di liga aja;tiktok;negative
emg mu pernah serius wkwk;youtube;negative
kalah sama tim yang baru bulan di bentuk;tiktok;negative
ada dua;youtube;neutral
kalo timnas indonesia lawan mu skor nya mesti;tiktok;neutral
fobia mu ada angka;tiktok;neutral
mu soal menang dia kalah soal kalah dia menang;tiktok;negative
bahkan sekelas asean all star pun menang melawan mu;tiktok;negative
wkwkwkw kalah sama asean al star;tiktok;negative
asli mu maennya ga kaya tim tim kelas eropa malah mirip tim liga liga asean;youtube;negative
bang jangan la masuk gua malaysia;tiktok;neutral
aduhh kalahh lagii padahal lawan asean;tiktok;negative
penonton banyak pake jersey emyu pas asean ngegolin pada gembira kan aneh;youtube;neutral
dah bener ikut liga malah maen maen kek gt;tiktok;negative
soloz pernah berkata makan la sikit nanti sakit;tiktok;neutral
mu ini tim bola bukan si;tiktok;negative
udah cukup kalian menghina emyu karena emyu sudah hina;youtube;negative
mu suruh aja main di liga;tiktok;negative
berani bgt pake jersey mu keluar rumah;tiktok;neutral
udah gak habis pikir sama mu;youtube;negative
jauh jauh dari eropa ke asean hanya untuk membuktikan klau mereka club setan merah emang club lawak;tiktok;negative
sudah bang;tiktok;neutral
info hongkong udah lawan mu wkwkwk;tiktok;negative
coba liat hasil tour pra musim sampai berakhir kalah semuanya kurang niat bermain cuman sebatas lembur cari pemasukan buat club karna musim depan nihil pemasukan;news;negative
padahal asean all star gada tim inti dari timnas indo loh;tiktok;negative
untung tidak terdegradasi juga;youtube;negative
asli makin kesini makin kesono lawakan nya;news;negative
menang atau kalah kami tetap setiamu;tiktok;positive
balik tidur jgn tengok dan komen;youtube;negative
miris sekali mu skrng kalah sama tim asean yg baru dibentuk club sekelas mu;youtube;negative
club inggris terbapuk ganti aja jadi club malam;youtube;negative
allstars vs team papan bawahmana stadion sepi;youtube;neutral
kasih persipura vs mu pun persipura win kayaknya;tiktok;negative
cobain lawan persib;tiktok;negative
semoga mu ga di bubarin;tiktok;negative
sekarang fokus apalagi;tiktok;negative
mu kan ga ikut ucl ikut aja piala presiden gimna;tiktok;negative
gila pengen banget kaya kak kyle belum ada satu jam udah fyp video nya;tiktok;negative
dengan beda;tiktok;neutral
malaysia better;tiktok;neutral
mu sengaja ngalah itu;tiktok;positive
mu yg sekarang tidak seperti mu yg ku kenal;tiktok;negative
mhmdparizzmalik rizaldi yg kepalanya bocor pas lawan bahrain di stadion bahrain;youtube;neutral
cape gak bang;tiktok;negative
jauh jauh hanya untuk kalah;tiktok;negative
garnacho dikantongin kakang;tiktok;negative
tim baru kebentuk asean al start meng ko man united;tiktok;negative
ntt lah myu tapi gg lah asean all stars;tiktok;positive
putra r;tiktok;neutral
udah kalah di luar di malaysia juga kalah;tiktok;negative
mu msuh asean receh aja klah tai tai;youtube;negative
kalh sama tim campur sari;tiktok;negative
timnya jago tapi jaman dulu;tiktok;negative
myu keliga ajah biar juara;tiktok;negative
